"","slice","avgAC","subj","hemi","roi"
"1",1,31535.0065917969,126426,"L","CA1"
"2",2,28931.3270089286,126426,"L","CA1"
"3",3,26565.025390625,126426,"L","CA1"
"4",4,29339.5834263393,126426,"L","CA1"
"5",5,24662.6231770833,126426,"L","CA1"
"6",6,24686.2229352679,126426,"L","CA1"
"7",7,23603.1885516827,126426,"L","CA1"
"8",8,26495.2286658654,126426,"L","CA1"
"9",9,29121.8667367788,126426,"L","CA1"
"10",10,24158.6862980769,126426,"L","CA1"
"11",11,23669.0301920573,126426,"L","CA1"
"12",12,26118.9908854167,126426,"L","CA1"
"13",13,22241.9287109375,126426,"L","CA1"
"14",14,19744.4261300223,126426,"L","CA1"
"15",15,20783.0899251302,126426,"L","CA1"
"16",16,19334.3754595588,126426,"L","CA1"
"17",17,34162.6095377604,126426,"L","CA1"
"18",18,26355.3031455592,126426,"L","CA1"
"19",19,22592.75,126426,"L","CA1"
"20",20,21736.2573939732,126426,"L","CA1"
"21",21,22412.0996907552,126426,"L","CA1"
"22",1,41041.1290838068,126426,"L","CA4DG"
"23",2,27024.6002604167,126426,"L","CA4DG"
"24",3,21908.175,126426,"L","CA4DG"
"25",4,20913.62109375,126426,"L","CA4DG"
"26",5,25155.626953125,126426,"L","CA4DG"
"27",6,23410.684765625,126426,"L","CA4DG"
"28",7,23870.8935546875,126426,"L","CA4DG"
"29",8,32681.7470703125,126426,"L","CA4DG"
"30",9,24733.677734375,126426,"L","CA4DG"
"31",10,22014.6173828125,126426,"L","CA4DG"
"32",11,24187.8137555804,126426,"L","CA4DG"
"33",12,25532.3267299107,126426,"L","CA4DG"
"34",13,28229.6103515625,126426,"L","CA4DG"
"35",14,29316.2689034598,126426,"L","CA4DG"
"36",15,24183.1201171875,126426,"L","CA4DG"
"37",16,22294.2915039062,126426,"L","CA4DG"
"38",1,31862.5815429688,126426,"L","CA2CA3"
"39",2,34357.1875,126426,"L","CA2CA3"
"40",3,35528.8178453947,126426,"L","CA2CA3"
"41",4,28474.2197265625,126426,"L","CA2CA3"
"42",5,26447.6937934028,126426,"L","CA2CA3"
"43",6,23712.8133680556,126426,"L","CA2CA3"
"44",7,26182.0539550781,126426,"L","CA2CA3"
"45",8,33181.3703613281,126426,"L","CA2CA3"
"46",9,33020.4587053571,126426,"L","CA2CA3"
"47",10,34304.9243861607,126426,"L","CA2CA3"
"48",11,39678.7734375,126426,"L","CA2CA3"
"49",12,38705.8046875,126426,"L","CA2CA3"
"50",13,34504.5652901786,126426,"L","CA2CA3"
"51",14,27764.1242675781,126426,"L","CA2CA3"
"52",15,29195.0601870888,126426,"L","CA2CA3"
"53",16,28079.9602050781,126426,"L","CA2CA3"
"54",17,23676.2082519531,126426,"L","CA2CA3"
"55",18,24807.294921875,126426,"L","CA2CA3"
"56",1,41770.3919270833,126426,"L","subiculum"
"57",2,39951.2120535714,126426,"L","subiculum"
"58",3,40296.5384114583,126426,"L","subiculum"
"59",4,20247.6201171875,126426,"L","subiculum"
"60",5,33130.677734375,126426,"L","subiculum"
"61",6,45326.54921875,126426,"L","subiculum"
"62",7,48646.292578125,126426,"L","subiculum"
"63",8,60620.75390625,126426,"L","subiculum"
"64",9,45464.8201349432,126426,"L","subiculum"
"65",10,34880.787890625,126426,"L","subiculum"
"66",11,66757.5674715909,126426,"L","subiculum"
"67",12,54443.8266059028,126426,"L","subiculum"
