"","slice","avgAC","subj","hemi","roi"
"1",1,52650.36328125,126426,"L","CA1"
"2",2,45497.119140625,126426,"L","CA1"
"3",3,47936.7119140625,126426,"L","CA1"
"4",4,31044.5503472222,126426,"L","CA1"
"5",5,26420.8875450721,126426,"L","CA1"
"6",6,27354.5092075893,126426,"L","CA1"
"7",7,26765.653359375,126426,"L","CA1"
"8",8,23926.5369357639,126426,"L","CA1"
"9",9,21421.6653645833,126426,"L","CA1"
"10",10,23360.7970339753,126426,"L","CA1"
"11",11,23094.8732512718,126426,"L","CA1"
"12",12,22623.5165014022,126426,"L","CA1"
"13",13,21882.3597935268,126426,"L","CA1"
"14",1,41618.9765625,126426,"L","CA4DG"
"15",2,40166.8147321429,126426,"L","CA4DG"
"16",3,38703.373046875,126426,"L","CA4DG"
"17",4,28963.6384548611,126426,"L","CA4DG"
"18",5,26448.3787109375,126426,"L","CA4DG"
"19",6,27537.2328125,126426,"L","CA4DG"
"20",7,22532.5024181548,126426,"L","CA4DG"
"21",8,20674.0485026042,126426,"L","CA4DG"
"22",1,25752.5693359375,126426,"L","CA2CA3"
"23",2,32848.9013671875,126426,"L","CA2CA3"
"24",3,36990.2336237981,126426,"L","CA2CA3"
"25",4,34818.9860839844,126426,"L","CA2CA3"
"26",5,30188.2273763021,126426,"L","CA2CA3"
"27",6,33076.7292668269,126426,"L","CA2CA3"
"28",7,28847.8188852163,126426,"L","CA2CA3"
"29",8,29978.0955729167,126426,"L","CA2CA3"
"30",9,29122.6009928385,126426,"L","CA2CA3"
"31",10,27100.5385742188,126426,"L","CA2CA3"
"32",11,28547.4888599537,126426,"L","CA2CA3"
"33",12,35692.6637369792,126426,"L","CA2CA3"
"34",13,33185.2510850694,126426,"L","CA2CA3"
"35",1,46201.4811197917,126426,"L","subiculum"
"36",2,38790.1956380208,126426,"L","subiculum"
"37",3,38187.1052517361,126426,"L","subiculum"
"38",4,38020.0427433894,126426,"L","subiculum"
"39",5,46181.0576467803,126426,"L","subiculum"
"40",6,43988.101091056,126426,"L","subiculum"
"41",7,48684.760625,126426,"L","subiculum"
"42",8,44228.0875651042,126426,"L","subiculum"
"43",1,60845.203125,126426,"L","SRLM"
"44",2,94149.5180664062,126426,"L","SRLM"
"45",3,40541.5862379808,126426,"L","SRLM"
"46",4,35549.399609375,126426,"L","SRLM"
"47",5,31461.814453125,126426,"L","SRLM"
"48",6,32811.7463727679,126426,"L","SRLM"
"49",7,30539.7958096591,126426,"L","SRLM"
"50",8,26051.3254743304,126426,"L","SRLM"
"51",9,23523.276890346,126426,"L","SRLM"
"52",10,21448.9127854567,126426,"L","SRLM"
"53",11,20998.1172921317,126426,"L","SRLM"
"54",1,30801.7770182292,126426,"R","CA1"
"55",2,29620.718307783,126426,"R","CA1"
"56",3,29242.5739462209,126426,"R","CA1"
"57",4,28439.1349609375,126426,"R","CA1"
"58",5,28956.1162336483,126426,"R","CA1"
"59",6,31565.0259486607,126426,"R","CA1"
"60",7,31549.9308733259,126426,"R","CA1"
"61",8,34917.64453125,126426,"R","CA1"
"62",9,34775.1745605469,126426,"R","CA1"
"63",10,34458.7038352273,126426,"R","CA1"
"64",11,34275.1362304688,126426,"R","CA1"
"65",12,35963.0786830357,126426,"R","CA1"
"66",13,38323.169921875,126426,"R","CA1"
"67",1,37280.8845214844,126426,"R","CA4DG"
"68",2,31001.070375504,126426,"R","CA4DG"
